H2	CH4	C2H4	C2H6	C2H2
10	0	0	0	0
4	0	5	0	0
31	15	13	11	0
22	21	6	1	0
30	32	12	3	0
40	35	20	5	0
55	50	30	8	0
65	55	40	10	0
72	90	27	110	0
74	1969	2321	1532	0
20	2	0	1	1
15	18	1	1	0
2	1	0	0	0
8	1	0	0	0
1	2	10	2	0
10	1	5	1	0
11	1	5	1	0
4	3	2	1	0
9	1	1	0	0
10	5	1	1	0
84	88	383	82	0
52	0	0	0	0
23	0	4	0	0
41	2	0	0	0
21	2	10	3	0
30	1	5	5	0
6	0	0	0	0
80	10	176	30	0
76	5	183	34	1
30	31	47	6	0
50	36	48	5	0
56	27	52	6	0
140	160	290	90	0
150	43	165	83	0
137	40	135	82	0
162	46	145	90	0
170	50	130	98	0
135	28	95	80	0
150	30	110	90	0
110	8	106	75	0
95	10	70	25	0
5	0	0	0	0
130	330	490	150	0
120	335	497	153	0
90	290	320	80	0
97	213	294	84	0
257	33	4	7	0
6	98	256	49	0
18	1	6	3	0
5	3	2	2	0
3	3	2	4	0
3	0	0	0	0
10	0	0	0	0
10	0	0	0	0
10	0	0	0	0
9	33	78	13	0
15	15	18	4	0
12	15	17	3	0
15	15	17	3	0
17	12	16	2	0
22	15	20	2	0
28	20	24	2	0
24	12	22	2	0
25	10	22	2	0
32	16	26	4	0
19	15	28	5	0
16	12	31	5	0
21	15	36	6	0
7	3	11	2	0
33	7	8	2	0
16	23	4	2	0
22	5	0	2	0
8	2	0	1	0
20	6	1	1	0
12	5	1	1	0
16	2	1	1	0
20	1	0	0	0
10	2	0	0	0
10	3	1	0	0
12	5	0	0	0
10	0	0	0	0
130	10	53	13	1
37	98	13	51	0
12	5	5	0	0
356	52	4	4	12
7	3	1	3	0
38	5	1	1	0
7	0	0	0	0
2	1	0	0	0
33	5	1	1	0
4	0	0	0	0
2	1	0	0	0
218	6	1	1	0
203	6	1	1	0
223	6	1	1	0
258	7	1	1	0
274	8	1	1	0
288	8	1	1	0
223	6	1	1	0
21	4	1	1	0
12	2	0	0	0
5	1	0	0	0
6	1	0	0	0
6	1	0	0	0
6	0	0	0	0
20	3	2	1	0
28	5	3	1	0
31	8	0	0	0
37	8	0	0	0
35	10	0	0	0
45	8	0	0	0
50	4	0	0	0
11	4	0	0	0
12	0	0	0	0
10	0	0	0	0
10	0	0	0	0
24	7	1	2	0
10	4	0	2	0
14	0	0	2	0
8	0	0	0	0
8	0	0	0	0
11	0	0	0	0
9	0	0	0	0
10	0	0	0	0
14	0	0	0	0
7	0	0	0	0
6	0	0	0	0
23	9	4	3	0
38	8	1	2	0
27	9	1	2	0
10	8	1	0	0
13	8	1	0	0
20	8	1	0	0
20	9	1	0	0
22	6	1	0	0
25	5	1	0	0
30	5	0	0	0
9	5	2	2	0
9	5	0	2	0
7	1	0	0	0
9	2	0	0	0
7	2	0	0	0
8	2	0	0	0
6	1	0	0	0
7	2	0	0	0
2	0	0	0	0
1	0	0	0	0
12	6	1	1	0
9	5	1	1	0
8	2	1	0	0
12	2	1	0	0
18	2	1	0	0
22	3	1	0	0
25	3	1	1	0
28	4	1	1	0
24	5	1	1	0
11	5	1	1	0
7	0	0	0	0
25	1	0	0	0
80	30	69	7	6
78	30	43	5	3
10	5	15	6	0
10	2	5	5	0
12	4	0	0	0
10	12	1	0	0
19	6	11	4	0
10	5	0	3	0
15	6	2	2	0
25	10	8	3	0
12	10	3	2	0
111	25	5	3	3
108	90	77	16	21
214	90	10	20	75
80	70	9	16	0
110	108	176	106	0
10	10	0	0	0
8	0	0	0	0
4	1	1	1	0
8	20	5	1	0
3	7	0	0	0
8	9	0	0	0
20	4	0	1	0
21	4	0	1	0
16	1	1	0	0
16	1	0	0	0
14	1	0	0	0
20	10	1	1	0
20	90	23	43	0
18	28	10	30	0
25	40	2	14	0
20	30	5	60	0
20	18	0	6	0
20	25	30	22	0
30	20	50	40	0
20	90	5	34	0
18	85	3	32	0
7	1	0	0	0
21	3	0	0	0
25	5	0	0	0
38	3	0	0	0
12	5	1	1	0
